text;catgy
MENTION cuestion opiniones . ' balance provisional ' ' cifras provisionales ' igual resuelto .;3
MENTION claro cuestion opiniones . menos da entender muertos reportan confirmados;2
MENTION aca tambien feisimo realidad replicas seguidas;2
MENTION sola , familia toda quito asi realidad horrible :'(;3
MENTION quito creeme no lindo sismo aca;2
MENTION tranquilo , dios control tranquilo no pasara;4
si tiembla fuerte , sabe : afirme televisor .;1
MENTION no duerma poto pelado SMILEY;1
MENTION obvio , siempre calzoncillos largos pijama;1
MENTION no sabe salir arrancando terremoto . ahi encuentras calle vecinos califas jajaja;1
MENTION jajajaja recuerdo NUMBER termine polera calle HASHTAG;1
MENTION SMILEY aun estabamos verano , igual justifica . ver calzones calzoncillos vecinos no , nadie aguanta;1
MENTION jajaja depende vecina SMILEY;1
MENTION jajajajaja;1
pegada noticias , revisando replicas pag . instituto geofisco . ! cuidense favor !;2,4
MENTION hallamos comadre , cosa horrible d=;4
MENTION aca NUMBER : 50 manana . abri ojo , prendi celular veo face gente reportandose bien terremoto ecuador .;2
MENTION q feo enterarse asi , cosa va ser peor aca amanezca;2,4
MENTION angustia mas saber noche alla ! abrazos comadre listo . cuidense;3
MENTION lista salir xq replicas no dan tregua , desesperan . abrazo comadre;3
HASHTAG gobierno ecuador solicitado ayuda naciones unidas . URL;2
MENTION momento parece solo movilizan equipos paises vecinos : URL;2
MENTION habra quebir calentando banda !;1
MENTION si voy mojarme pelo ponerme diadema si q salir jugar;1
MENTION si ... temo no seria operativo.espero q llegue suficiente ayuda <24> 48 horas;2
confirmado menos NUMBER personas murieron HASHTAG . ademas , cerca NUMBER heridos . HASHTAG URL;2
MENTION nao risco tsunami nao ne ?;2
MENTION ate agora , eles nao disse;2
MENTION ainda bem SMILEY;2
espero nao passe mais MENTION;4
MENTION voce do equador ?;4
MENTION nao , jornalista nicaragua . partir daqui esperando acontece nesse pais irmao;2
MENTION ahhh , okay ! eu sou do brazil ..;4
MENTION debe esperar paciente comunicacion x alla cortada cayeron antenas no electricidad;2
MENTION asi parece . no comunicacion ahora .;2
MENTION toca tener paciencia comprension , deseo espero esten bien , mayoria alla;2,4
MENTION todavia .;2
hp no deja arrogancia momentos . enorme miseria humana resulto ser tipo . URL;1
MENTION razon haiti NUMBER causo NUMBER 00 muertes destruccion total suerte;2
MENTION hacinamiento precariedad vivienda haiti . decir minimizar desgracia;2
MENTION mismo , razon comentario;2
MENTION claro razon , desubicado . darle poca importancia dolor gente perdio alguien .;2
MENTION mashi cae v ... satanizar cualquier cosa diga odio estupido .;1
MENTION no dicho , desgracia presidente , siguen noticieros , no saques contexto caerte mal;2
MENTION sabemos bestia ! cada ves mas parecido maduro ahora requerimos union pais jodido;1
MENTION asi pana ! debemos aunar esfuerzos apoyar organismos socorro partidismo propaganda .;4
visto video destello cielo q vio manabi colombia momento terremoto ?;2
MENTION supuestamente aqui gye tambien vieron unas luces . vecina varias amigas vieron;2
MENTION miedo solo vi luz azul relampago q encendio apago cielo;2
MENTION si ! vi guayaquil .;2
MENTION despues salio luna formo halo alrededor;2
MENTION valeriaaa aca twitter encuentro SMILEY;1,2
MENTION lei pasa terremoto * sorry meta *;2
MENTION jajaj no preocupes ! tambien lei mismo . aunque video si da miedo;4
MENTION ahhh menos mal sido normal pense q extraterrestres asi lol;2
MENTION perdon meta , aqui dejo info ... URL;2
MENTION hahaha wow ! serio ? , ? haha;1
MENTION hahaha buscando guayaquil aparecio tweet SMILEY;1,3
MENTION hahahah genial ! hahahah;1
oremos dios bendiga HASHTAG URL;4
MENTION;4
MENTION necesitamos cadena d oracion x pais.suplicamos dios misericordia . ayudennos cadena;4
MENTION dios bendiga estan oraciones;4
MENTION muchas gracias sra rocio . no palabras . no describir situacion;4
MENTION pena carolina dios bendiga entrega ser mas poderoso proteja virgen proteja manto;4
MENTION hago sra rocio fe . solo q replicas aterran sigo fe . pais bonito dolor;2,4
distrito priorizado jama-pedernales , mas afectados terremoto HASHTAG . momento van NUMBER muertos sigue contando .;2
MENTION NUMBER muertos confirmados amigo;2
NUMBER muertos confirmados nivel HASHTAG estimado MENTION . NUMBER poblacion HASHTAG , HASHTAG .;2
MENTION horrible , gracias mantener informado;2
unico medio comunicacion realmente mantenido informandonos toda hora . URL;2
MENTION asustada , creeme peor eSMILEYeriencia mundo . no podemos tranquilos posibles replicas .;3,4
MENTION situacion horrible , terremoto tan fuerte practicamente veias muerte venir .;4
MENTION imagino ... familia estan bien ?;4
MENTION si , bien gracias dios . vivir tercer piso cosas complican mas , gracias preocuparte .;4
MENTION claro preocupo ... bff   3   <3;4
gob . HASHTAG enviara HASHTAG avion ayuda humanitaria URL HASHTAG URL;2
MENTION amiga cuidate;4
MENTION tambien corazon destrozado dolor;4
MENTION imagino , no poder pais momento . duro viviendo toca llenarnos fuerza .;4
MENTION animos amiga colaborar;4
MENTION seguro bien , parte ecuador hermano ?;4
MENTION espero :/ guayaquil;4
MENTION seguro si , ademas guayaquil ahora no dicho heridos solo derrumbamientos;2
MENTION cosas pone peor casos , jope;4
MENTION ... mejor no pasado no puede contestar no luz caido torres comunicacion;2
hey MENTION ? hacias paso terremoto ? jajaja URL;1,3
MENTION bolas suave .;1
MENTION respeto amigo , bolas boca . no habia dado cuenta taxi lmao .;1
MENTION osea fuerte ecuador vv no preparado pegue mensa ruca;1
MENTION jajajajaja vales verga chileno .;1
MENTION ecuador get bill by earthquake NUMBER reload nac on all ecuador SMILEY;3
MENTION jajajajajajajajajajajajajajajajajajajjajajajajajajajaja vergaa jajaja;1
MENTION comparto imagen ubicacion URL;2
MENTION no ahora recien mude hace NUMBER mes , amistades cuentan acurre;3
MENTION encerio ? sineto , pues sabe bastante gente debajo escombros hotel royal pacific;4
MENTION talvez , hi hermana SMILEY sino varios hotles pequenos tambien calleron;3
MENTION no moemtnos dejame averiguar si;3
MENTION ok muchas gracias cualquier cosa avisa porfa;3
MENTION disculpe molestarla esq m dieron informacion q hotel jk blue si puede ayudar porfavor;3
MENTION estimados algun avance MENTION unica forma d comunicarnos traves d MENTION energia pronto esteremos incomunicados;2
MENTION manta . .. barrio umina cementerio no energia ayer hora terremoto . .. ayuda favor;4
MENTION hola carlos . periodista mundo ( espana ) favor , ? podemos hablar terremoto ? muchas gracias .;3
MENTION claro . .. guayaquil . zona mas afectada manabi : pedernales , bahia , portoviejo manta .. incomunicadas;2,3
teresa carreno ucv apareceran nuevo billete chimbo NUMBER . regimen dijo q no pondrian imagen comandante eterno no devaluarlo .;2
MENTION queremos pongan cmdte eterno billete NUMBER devalue gente sepa responsable crisis;2
MENTION no podria cargar ningun billete cartera , aunque tiempo duran cargarlos ..;2
MENTION queremos billete NUMBER cara papa desastre . no teresa parra ucv;1,2
MENTION si gente aun no toma conciencia comprada ... van idolatrarlo mas ... - . -;1
MENTION bueno verdad punto;1
estimado MENTION momento no alerta tsunami costas ecuador , importante mantener calma no caer rumores .;2
MENTION dicen q mar recogido NUMBER mts cierto ? q puede ver alerta tsunami posible terremoto NUMBER;2
estimada MENTION favor guiarse informacion oficial , MENTION no dado ninguna alerta respecto . saludos cordiales .;2
MENTION tipo informacion falsa , nadie puede predecir evento sismico . especulacion;2
MENTION circulan mensajes voz whasaap diciendo va ver terremoto mas fuert falso no caigamos .;2
MENTION siii enviado mensajes dios no quiera q verdad ... fe q pasara;2,4
MENTION entonces q foto q mar recogiendo playas URL;2
MENTION gente inescrupulosa , nadie puede predecir evento sismico . ineSMILEYeriencia vuelve irresponsabilidad .;2
MENTION revise mareas ver si no coincide marea baja . favot no especular .;2
estimada MENTION importante informarse solo traves fuentes oficiales , MENTION no compartido informacion respecto .;2
MENTION amiga ojos aguilas playas confirmado q mar tranquilo no q temer;2
MENTION asi , revisen mareas estima marea baja hora.no especulemos concretos objetivos;2
MENTION terremoto hoy absolutamente normal existan replicas . no especular .;2
MENTION ley comunicacion si gobierno no pronuncia nadie puede hacerlo;2
MENTION no invisibilizar eventos trascendencia labor periodistas , ejemplo puede vision 360 evento no ?;2
MENTION vrd noxe solo puedo decir MENTION ayuden bahia canoa;2
MENTION jaja preocupada tema gente pasandola mal , supongo encuentras bien junto familia;4
MENTION sala llave mano porciacaso;3
MENTION jajaj tranquilo supongo peor paso , antigua casa no vino bajo ?;3
MENTION jajaja dices si quisieras jaja no , no abajo;1,3
MENTION jajaja noo , ay alegro casita;1,3
va amanecer ecuador ahi va ver magnitud danos comenzaran adecuadamente operaciones rescate .;2
MENTION posible q sigan replica dia;2
MENTION replicas van seguir ano , mas ...;2
MENTION asimos video youtube cogio desprevenido;2
. MENTION imagino , vivieron fuerte , tranquilos , parece peor paso , animos !;2,4
MENTION vino gente salia calles ymi hermano tubo q levantar busque youtube replica terremoto quevedo;2,3
? peor ? socialismo bomba atomica ? URL;1
foto indonesia , pais pc ilegalizado no cuba . mentiroso . ! pam ! MENTION URL;1,3
MENTION boom , headshooot !;1
MENTION si foro menos , mas importante ( triste ) realidad;3
MENTION ver , iluminanos;3
"pone foto indonesia , dice cuba . pillan ahora "" foto menos "" MENTION";1,3
MENTION jeta capital-listos;1
MENTION siento , no pagan ello;3
MENTION no NUMBER , despues tsunami terremoto NUMBER;3
MENTION mas penosos ... MENTION;1
MENTION , q q dije , no sido q puso foto . rigor argumentos poner favor . bye;1,3
animo fuerza , ecuador;4
MENTION terremoto ...;3
MENTION NUMBER , 8 creo;3
MENTION uf mal pobre gentes;4
fascismo violencia ahora siempre resistencia . solidaridad companerMENTION MENTION URL;3
MENTION cuanto mas removais pasado sed venganza puede ser q pase , no dividir espana gente;1,3
MENTION acto horrible antidemocratico , si . ? respetaste rosa diez hiciste escrache ?;1,3
MENTION comparar protesta , acto barbarico , solo haria miserable imbecil HASHTAG;1,3
MENTION hablamos dos tipos agresiones dos condenables . si subnormal , vuelve clase .;3
MENTION libertad eSMILEYresion libertad decir no eSMILEYresen vas comparar agresiones;3
MENTION entiendo : reventar charla joder querian escuchar diez democracia .;3
MENTION joder pocos querian escucharla parece mala educacion .;1,3
MENTION comunismo matado NUMBER millones personas . seria violencia , mataron abracitos .;3
MENTION agrsores armados , brechas fracturas.podia haber muerto NUMBERchaval comparas cn NUMBERpitada.suscribo : miserable imbecil;1,3
MENTION puede parecer muchas cosas libertad eSMILEYresion antidemocratico SMILEY;3
MENTION analfabeto funcional . ambas cosas agresiones .;3
MENTION si viniera gente importante universidad decir diria;3
MENTION cierto : solo hacen;3
"MENTION asi ganara dos "" bandos "" mas grite supuesto mas";3
MENTION ejemplo si viniera pablo iglesisas mia garantizo alguno escracharia;3
MENTION bandera ayuntamientos falta respeto dia q franco gano guerra q saquen aguila q parece;1,3
MENTION tambien seriamos menos clase gran mayoria eSMILEYulsando hagan .;3
MENTION ! cono pablo , NUMBER anos despues sigues siendo mismo denunciante informador brigada informacion !;1,3
MENTION fanatismo incultura iguala dictadura + sangrienta q vivio espana primera democracia . asi va !;1,3
MENTION fanatismo perteneciera algun partido politico militante ?;3
MENTION fanatico defiende idea reflexionar falaz q idea band . republicana representa NUMBERdeg democracia d espana;3
MENTION pablo gusta brigada informacion ... rata servicio;1,3
MENTION faltaba sectario iluminao hablando dictaduras comunistas espana s.xxi . encima d vox;1,3
MENTION fanatico ignorante .;1,3
. MENTION no hizo escrache.documentate mejor . no hagas comparaciones demagogicas ( 1 );3
MENTION presente escrache .;3
. MENTION presente . ahi decir hizo escrache , noticia diferente .;3
MENTION ? orquestado ? ahora va resultar pablo hermana piadosa .;1,3
MENTION encima pablo mira buenos ojos.lo medir + NUMBER , 90 no dicho ninguna;3
MENTION sera HASHTAG .;1
. MENTION ? va ser ahora pablo hundio titanic mato manolete . vaya tela !;1,3
MENTION seguro sigues mucha gente avatar che guevara dando lecciones democracia .;3
MENTION lecciones democracia . espabilao MENTION;1,3
MENTION exiges ejemplaridad teneis genocidio iconos genocidas.ves paja ajena no viga;1,3
MENTION espana . q sufrio dictadura d ultradcha , personaje d vox . no hables stalin MENTION;3
MENTION rodeado genocidas , genocicios , hablando red social ( americana ) capitalista ,;1,3
MENTION recuerda denuncias falsas patriotas q estudian trabajan vivir d subvenciones;3
MENTION ! blesa rey resisten hora d vivir cuento ! URL;3
MENTION miserable , cinico MENTION;1,3
MENTION tonto topico . aludes idioteces q ser d izqdas no debemos usar rrss MENTION;1,3
MENTION joder menos gaficas ! republicano republicano ... elegancia ! cono !;1,3
apoyo pueblo ecuador momentos dificiles . condolencias familiares fallecidos .;4
MENTION no extrana deis apoyo .. URL;4
MENTION no d extranar xq seres humanos preocupado x seres humanos no sacrificamos refugiados inmigrantes;4
MENTION preocupan inmigrantes , estafan falsas ayudas .. URL;1
MENTION xq personas igual resto d humanidad xq espana tb pais d inmigrantes acogieron;2
MENTION digaselo MENTION paso pregunta hizo dinero , inmigrantes ..;2
fumarse solo porro eSMILEYlican ! bbc mundo eSMILEYlican aparecen bolas luz terremoto URL;1,2
MENTION claro , h . . . r . p no ver ... ? si ?;1,3
MENTION trata , investigar . haarp , no aparecian luces cielo terremotos .;3
MENTION subiendo . dejao muestra corte referencia HASHTAG publicara URL;2
MENTION no puede visualizar video , dice privado ... disculpen molestias .;2
MENTION si puedd ver robert acabo probael . prueba nvo si quieres;3
MENTION gracias elena , ahora si podido verlo , bueno , ello ...;3
MENTION gracias , interesante video .;3
MENTION horrible;4
MENTION cada vez mas mas imagino falta buscar dia;4
MENTION deseo alla consolarte duele verte situacion tan terrible;4
MENTION muchisimas gracias apoyo , increible [ ? ] gracias dios bien personas ciudad +;4
MENTION terremoto preocupan mando abrazo virtual musho carino;4
MENTION cuenta conmigo siempre;3
MENTION conmigo tambien , lysm;3
MENTION va numeros saturados ! hermana unico hospital fracturas;3
MENTION puede contactar internet , tal vez ahi mas facil;3
MENTION gracias congregacion ! luego embajada hermana no existe ! verguenza !;1
MENTION no , momentos asi colapsa.supongo congregacion paso nombres religiosas embajada;2
MENTION embajada saben perfectamente cantidad espanoles visados ! problema no informen verdad !;2
MENTION pois van perder;3
MENTION sevilla non gana SMILEYga fora da casa . empate non variar;3
MENTION SMILEYgan sevilla , non ?;3
MENTION ai si , ... non acordaba;3
va ser proximo dibujo haga . sera manga aun no traido canal : 3;1
MENTION naruto;1
MENTION no jejeje;1
MENTION haces sufrir;1
MENTION jeje ? apuntado pendiente , voy hacer tambien pendiente hace jeje;1,3
MENTION jo vale .. u . u;1,3
hija nerviosa terremoto , entro panico , despierta asustada cada rato pide q abrace c . c .;4
MENTION entiendo pana hijo NUMBER no paraba llorar susto ver habia pasado;4
MENTION conversando hija , dije valiente q ayudar salir village , hijo crack ayudar nona;1,3
MENTION asi , heroes hogares momentos manifiestan bendiciones;3
MENTION verdad si , fin pude hacer dormir ... pobre no descansado bien;4
MENTION no q escribirte ... emociona leer historia final feliz medio tanta tragedia;4
MENTION;4
interesante ! bbc mundo - eSMILEYlican aparecen bolas luz terremoto URL;2
MENTION desperte hace media hora;3
MENTION bien , solo susto;3
MENTION miedo no deja dormir;3
madre rescatada d auto NUMBERh despues d haberse colapsado NUMBER hotel encima HASHTAG dios bueno HASHTAG URL;2,4
"MENTION dile mismo familiares ninos , adultos ancianos fallecieron . "" dios ' bueno ' "" . ecuador .";4
MENTION dios bueno ahora tendra santa gloria;4
MENTION mato ahora estan . vale , ahora siento mejor . ire rezar no haga mismo si hace resigno .;4
MENTION buen razonamiento . ahora seria bueno si puedes sentirlo alma fe . lograr hacer conexion creador;4
MENTION correccion : creador verdugo inocentes .;4
MENTION q bien q mama contado cn suerte s insulto inocentes muertos agradecerlo si demas merecian morir;4
MENTION no quisiera imaginarme sera dios encabrone malo ! NUMBERSMILEY agradece rescatistas .;1,3
MENTION hermoso URL;3
MENTION elevamos NUMBERoracion x nstrs hnos ecuador , q sufrieron terremoto;4
MENTION dios proteja;4
MENTION amen ! URL;4
MENTION mas cresta . vengo recien llegando venia cagado calor auto;1,3
MENTION andabai carreteando ? tmb caga d calor q q dormi , destapada;1,3
MENTION asi . jajaja quilpue . apenas podia manejar;1,3
MENTION uuuyyy pasando quilpue;1,3
MENTION jajaja asi;1,3
MENTION jajaja q rico coke ! t felicito;1,3
pensaba mismo t juro URL;3
MENTION llovido muchooo , debe embarrada lugares rm , ?;3
MENTION melipilla;3
MENTION tal alla , llueve ? aca cerro navia embarro , toda noche full;1,3
MENTION no parado llover !;3
MENTION uuu;3
libertad eSMILEYresion respeto tolerancia nunca amenazas apelando violencia MENTION URL;2
MENTION cuesta tenerles respeto tolerancia , solo ganas pedirle guantes cuadrilatero .;2
MENTION solo cantan , veo mas aplicar metodos violentos ...;2
MENTION uy dicho , ofendido siento . espectaculos ofenden mas .;1,2
MENTION bueno , siempre podras soltar par hostias alguien quedarte tranquilo ...;1
MENTION siento no van masocas prueba . deseo suerte .;1
hoy grite policia ahora acuerdo . hizo dar coraje .;1,4
MENTION no preocupes : siguientes horas van ser tensas habra descontrol desaliento . mal momento .;2
MENTION entiendo perfectamente . quedado evidenciado ecuatorianos no preparados enfrentar terremoto .;2
MENTION triste.tanta logistica contramarchas catastrofe no nadaespero q escarmienten autoridades;2
MENTION terremoto ayer tomo sorpresa , especial autoridades . peor incertidumbre .;2
aqui mensaje aquellos creen juego pertenece asi URL;2
MENTION sube mas habbo hotel pls;1
MENTION sube habbo hotel ? ! ? ! ? ! ? ! ... ver;1
MENTION no sube , broma , perdona si confundido SMILEY MENTION;1
MENTION ajjajajaaj malo;1
MENTION solo chiste plan : tio dicho , pues juega habbo no juega casi nadie;1
MENTION exacto SMILEY;1
MENTION informa traves auditores estragos calles x HASHTAG . canales ... HASHTAG;2
pavos MENTION MENTION descansando . HASHTAG inundado . HASHTAG URL;1
MENTION seguro stgo chile debe ser cadena nacional ...;1
MENTION si dices , asi tendra q ser pues . olvidaba reportajes x HASHTAG .;3
MENTION no necesaria cadena , basta solo canal noticia URL;3
MENTION no entiendo q quieres . manana si quieres , tratemos complejo , tinca ? ahora preocupa gente desaparecida .;1
MENTION jajaja populismo;1
ve lejos HASHTAG nepal , afganistan , grecia , etc . nunca piensa q tierra puede pasar ... HASHTAG;2
MENTION verguenza , sirve twitter no pa joder vida no sometemos HASHTAG;2
MENTION cuan valioso medio .. informarnos q medios tv sido nulos informar HASHTAG;2
MENTION no medios gobierno ahora niega derecho . pisotean sentimientos dolor .;2
MENTION sentimiento encontrado ver imagenes twitter perdernales gob quedo grande asumir emergencia;2
feo ayer .;4
MENTION no senti NUMBER . grupo peores noches vidas;4
MENTION horrible SMILEY pasado cafe , mirando focos toda noche .;4
MENTION despertaba cada NUMBER minutos , ahora desperte pensando temblor;4
MENTION SMILEY dificil va ser dormir siguientes noches minimo movimiento no alarme .;4
MENTION digas . preparados , mejorara;4
MENTION chingu bien ? tranquilo;3
MENTION si amiga , bien , aqui no mas alla susto , partes mas intenso SMILEY muchas gracias preocuparte <3;3
MENTION alegra estes bien , no sabia acabo enterarme hace rato , preocupa situacion SMILEY;3,4
MENTION bastante grave provincias aqui temblor largo , espero replicas no asi , queda esperar;2
MENTION alegro estes bien;3
MENTION muchas gracias faty , aqui cuanto temblor bien , susto tremendo , no dano , parte mas grave;3
solidaridad pueblo ecuatoriano sufrido madrugada terremoto NUMBER , 8 . pesame familiares fallecidos;4
"MENTION ver tarda subnormal turno decir "" venezuela ? """;2
MENTION jajajaja mismo pensando;1
MENTION no falla , tuit alguno podemos , tuit monguer cantinela;1
MENTION jijijiji jajajaja estaran alguna corrida toros;1
MENTION buscando noticias venezuela esperando inda relacione podemos seismo ecuador;1
acabo enterar ecuador ... aqui mando apoyo companeros !;2,4
MENTION terremoto vivo ecuador NUMBER;3
MENTION no NUMBER sino NUMBER NUMBER;2
MENTION razon hoy manana confirmo NUMBER;2
MENTION desgracia , siento ! SMILEY;4
medios no podian dar ninguna informacion xq ley mordaza correa obliga esperar version gobierno URL;2
MENTION / no existe ninguna prohibicion informar ecuador ...;2
q no ? ayer NUMBERro q hizo gob declarar d excepcion q dice MENTION URL;2
MENTION .. momento ... gracias solidaridad;4
MENTION realidad q vive ecuador autocensura previa preventiva x miedo sanciones cierres;2
MENTION / mentira ! respeto basta mezclar politica dolor pueblo ..;1
MENTION mentira ? falta respeto negar realidad .;1
MENTION verguenza medios pueden transmitir estan haciendo . cuanfo vivas ecu opinen;1,2
MENTION asi q no altere , q no mezclando dolor pueblo .;1
MENTION dnd crees q ahora mismo ? verguenza negar realidad x defender indefendible;1
MENTION gobierno hecho bien muchas cosas , referido meteria comunicacion no;2
llegan primeros reportes danos via portoviejo pedernales HASHTAG URL;2
MENTION hola , productora univision . ustedes tomaron foto ? puede usar ? damos credito ? muchas gracias !;3
MENTION cierta foto , verdad ? tambien queremos usar edicion . gracias;3
MENTION hola gerardo . no podido confirmar .;3
MENTION hola ! dicen no montaje . igual poniendo creditos .;3
MENTION dicho ? sorry . tan espectacular .;3
MENTION pues aqui mesa edicion . si . publico tbm MENTION;2,3
buenos dias . HASHTAG amanecimos dolor tragedia ocurrida , pueblo fuerte levantara . gracias todMENTION !;2,4
MENTION siento . sido ?;4
MENTION ahora hablan casi NUMBER fallecidos . terremoto sido NUMBER , 8 grados;2
MENTION si grados sabia ... mertos noo .. pasada ... sientoo;1
MENTION SMILEY.ni gracias naea;3
MENTION;3
devastacion enorme . ayudar hermanos costa . sitios dejar donaciones . HASHTAG URL;2,4
via portoviejo-crucita . ayuda hermanos costa . HASHTAG URL;2
supongo MENTION publica comercio;2
MENTION parece editada , fin tantas imagenes terribles terremoto , mas / menos .;3
si , medio rara MENTION edificios caidos reales .;3
MENTION ... ahora podemos ver realidad . URL;3
MENTION primera real , segunda auto dudosa , no imagino gente editando , ...;3
MENTION ambas fotos corresponden mismo lugar primera varios metros , auto encuentra fondo d NUMBER img;3
MENTION fijate fondo NUMBER img lineas blancas d via ... corresponde exactamente carro;3
MENTION ser asi , imagenes impactantes , tristeza .;3,4
MENTION claro ! situacion terrible ... cosas jamas imaginaria q pasarian .;2
MENTION foto publico biess real aqui cortada original URL;2
MENTION muchisimas gracias , aclararon , solo duda .;3
naturaleza bordea .;2
MENTION constantemente , sorprendio terremoto ecuador no chile;2
MENTION ta zorra stgo dr .;1
MENTION rancagua tambien .. mucha lluvia sitios preparados;2
MENTION chucha importa rancagua ?;1
MENTION mas sur ?;1
MENTION solo bio , patria HASHTAG san bernardo sur , talca weas borde;1
MENTION buen comentario;1
crei jamas pasaria asi pais , sucedio fuerza familias afectadas HASHTAG;4
MENTION triste , solo duda quito sintio tambien temblor ?;4
MENTION si sintio comunicado tv radio , sintio menor escala;3
MENTION si asi termino leer , fortaleza tranquilidad !;3,4
MENTION gracias ustedes hermoso pais bella hospitalidad , recobrara color siempre HASHTAG !;3,4
raro , anoche hora temblor , varias partes colombia ecuador vio similar meteorito cruzar cielos .;2
MENTION tambien parecen demasiadas extranas luces asi eSMILEYliquen teorias aun mas raras ..;2
MENTION teorias .;2
MENTION realmente extrano , ojala nunca obra humana tragedias asi teoria correcta .. extrano ..;2
MENTION video no corresponde ecuador si no argentina ano pasado URL;2
busca mas vital nomas , necesidad nomas , olvidate , preocupaciooon;4
MENTION loviu;3
MENTION pleier ikke svare meg hvis jeg skriver pa norsk ..;3
MENTION no entiendo bien creo hablas no contesta asi .;3
"MENTION dice "" no suele contestarme si escribo noruego "" SMILEY";3
MENTION bien , pues rubius , cuantas notificaciones no tendra dia . chile ?;3
MENTION chile vivo noruega;3
MENTION solamente vos das rt;3
MENTION pq amo;3
MENTION vamonos NUMBER espana buscar amor , foe;3
MENTION mio japon seguro;3
MENTION vamos espana dios quiera . lula tene fe;3
rio siempre vuelve cauce .;4
MENTION providencia inundada . pagos gato asustado lluvia .;3
MENTION tremendo costa no mas alerta temblor .;4
MENTION vere visita ?;3
MENTION encantaria .;3
despertado avidos informacion solo canal tv pasa imagenes sacadas rs , medios no cumplieron tarea . HASHTAG;2
MENTION ? quieres informen si HASHTAG decreta excepcion terremoto ? miedo hablar;2
MENTION fernando , ! favor ! ? deficiencia medios culpa ley ? no sobrepase odio;1,2
MENTION supuesto no . no tan ingenuo creer . si silenciando periodistas HASHTAG NUMBERer responsable;1,3
MENTION fernando , solo falta culpes terremoto . indispensable ecuanimidad ahora HASHTAG;1,3
MENTION ? recuerdas conociste ? lamentable puedas pensar semejante cosa .;3
MENTION si fernando , luchador verdad derechos . ahora debemos unirnos recuperacion pais HASHTAG;3,4
alguna extrana razon hoy casi despiertos temprano . caso hambre;3
MENTION caso xq aca nadie podido dormir x fuerte sismo ecuador horrible;2,4
MENTION saludos chile espero bien junto familia;4
MENTION gracias dios bien , gracias infinitas apoyo;4
MENTION ahhh q bueno , abrazo pueblo ecuatoriano;3,4
vemos tiempo MENTION aqui alla luz , pasan dias .;3
MENTION tio ... estais ? sido fuerte ?;3
MENTION si , terremoto NUMBER creo , si ves rt ves linda ciudad casa , piso .;2,3
MENTION paso no ? espero estes bn SMILEY;3
MENTION pasar , pasa , cuidad devastada , aqui NUMBER dias min luz .;2,3
MENTION joer vaya palo : ' c;1
MENTION entra hashtag HASHTAG u HASHTAG mira tan linda cuidad;4
MENTION viendo HASHTAG : c;3
MENTION bien justo segundo piso fea sensacion peor rei despues temblor;3
MENTION alegro estes bien;3,4
MENTION igualmente aunque no seabido derick;3
MENTION solo derick no contwsta ahora llamo meri;3
MENTION si , intente tampoco contesta . avisas si dona mery contesta;3
toda solidaridad pueblo ecuatoriano terrible sismo . fuerza ! ustedes .;4
MENTION mientes ... harias falacia al.viento;1
MENTION boca - socialista ke no vendes camionetas colaboran pan .. ?;1
MENTION no haces ? defiendes igran modelo economico ? dba imbecil;1
MENTION ahi ustedes mueren perros ... !;1
"MENTION asi dba , unico cabeza palabra "" terruco "" . actualizate menos pues ...";1
MENTION conozco cerca no hablo afirmo ... !;1
MENTION calmate . tomate victor;1
MENTION hola alvaro admiro lidereza .. debe ser leal palabras no acomodarse situacion;1,4
MENTION querer hablar ppk insultado ofendido mujer profesional dijo ser neutral;1
MENTION no me.digas no perfila acuerdos bajo la.mesa amigo deja especulacion;1
MENTION vez amigo alvaro ... da entender vero no muestra .. si me.decepciona mal;1
MENTION agregan mas seguidores farsa periodistica comercio , no leer cosa;1,2
MENTION fuerte terremoto eh ?;2
MENTION japon no ? xk ultimamente aqui sur cierta actividad sismica ...;2
MENTION ecuador arrasado sido increible;2
MENTION hostia , ecuador ? magnitud ?;1
MENTION NUMBER manana aproximadamente URL;3
MENTION buah , salvajada , gustaria saber ver si encuentro profundidad epicentro;1
MENTION epicentro barcelona . acaso duda usted ?;1,3
MENTION salvajada , encima cerca costa sorprende no tsunami ...;3
MENTION culpa podemos , .;3
cuestion sensatez , necesita mas ayuda , venezuela ecuador ? meses productos ! URL;2
MENTION caso ayuda sera rescate no alimentos medicinas pues vzla s . . s humanitaria !;2
MENTION gracias . .. si necesitamos mucha gente bajo escombros vivos aun gritando;2
MENTION tragedia , ojala envien buenos rescatistas . dios proteja !;2,4
MENTION horrible envian textos escombros pidiendo ayuda gritan falta ayuda;2
MENTION sra ayuda humanitaria topos salvar paisanos torpe torpe .;1
MENTION ahora caen troll venezuela . . ayuda veo;1
MENTION puede ser insulto costumbre entiendo si ayuda siempre forma;1
MENTION pasa no leer agradeci ayuda voluntarios si necesitamos . .. no queremos 1/2;3
MENTION viveres ... pueblo hacen colas NUMBER / 2;1
MENTION si lei luego alguien eSMILEYlico verdadera razon enviaste sesgada opinion;1,3
MENTION sabes . .. mejor no fastidies . preocupo gente . .. ? chao;1
MENTION chao linda tambien gente recuerdo libre gracias venezuela historia alli;3
no senti terremoto iba manejando , serio , no senti . no estrella cuida , gracias .;4
MENTION dificil creer no sentiste , salvaste sentir feo ...;4
MENTION iba amiga carro , iba casi dormida iba cantando loquita . bajamos carro vimos;4
MENTION gracias dios bien ...;4
